Gemeentecode;Regionaam;Gemiddeld inkomen per inwoner
Nederland;Nederland;24.1
GM0003;Appingedam;20.8
GM0005;Bedum;21.9
GM0007;Bellingwedde;20.6
GM0009;Ten Boer;21.6
GM0010;Delfzijl;21
GM0014;Groningen;21.4
GM0015;Grootegast;19.6
GM0017;Haren;30
GM0018;Hoogezand-Sappemeer;20.1
GM0022;Leek;21.8
GM0024;Loppersum;21.3
GM0025;Marum;21.6
GM0034;Almere;23.5
GM0037;Stadskanaal;19.4
GM0040;Slochteren;23
GM0047;Veendam;20.6
GM0048;Vlagtwedde;19.8
GM0050;Zeewolde;24.1
GM0053;Winsum;21.7
GM0056;Zuidhorn;22.4
GM0058;Dongeradeel;19.2
GM0059;Achtkarspelen;18.5
GM0060;Ameland;20.5
GM0063;het Bildt;19.6
GM0070;Franekeradeel;20.6
GM0072;Harlingen;20.6
GM0074;Heerenveen;22.2
GM0079;Kollumerland en Nieuwkruisland;19.1
GM0080;Leeuwarden;21.3
GM0081;Leeuwarderadeel;21.5
GM0085;Ooststellingwerf;20.5
GM0086;Opsterland;21.3
GM0088;Schiermonnikoog;23.8
GM0090;Smallingerland;21
GM0093;Terschelling;23.7
GM0096;Vlieland;25
GM0098;Weststellingwerf;20.3
GM0106;Assen;22.6
GM0109;Coevorden;21.8
GM0114;Emmen;20.6
GM0118;Hoogeveen;20.1
GM0119;Meppel;22.6
GM0140;Littenseradiel;21.6
GM0141;Almelo;20.4
GM0147;Borne;23.6
GM0148;Dalfsen;22.2
GM0150;Deventer;22.8
GM0153;Enschede;20.3
GM0158;Haaksbergen;22.2
GM0160;Hardenberg;20.3
GM0163;Hellendoorn;21.5
GM0164;Hengelo;22.4
GM0166;Kampen;20.4
GM0168;Losser;21.7
GM0171;Noordoostpolder;21.3
GM0173;Oldenzaal;22.7
GM0175;Ommen;21.7
GM0177;Raalte;22.2
GM0180;Staphorst;18.8
GM0183;Tubbergen;21.3
GM0184;Urk;17.9
GM0189;Wierden;22.6
GM0193;Zwolle;23.5
GM0196;Rijnwaarden;21.1
GM0197;Aalten;20.8
GM0200;Apeldoorn;24.1
GM0202;Arnhem;22.9
GM0203;Barneveld;21.5
GM0209;Beuningen;24.8
GM0213;Brummen;23.7
GM0214;Buren;24.6
GM0216;Culemborg;24.2
GM0221;Doesburg;21.5
GM0222;Doetinchem;22.5
GM0225;Druten;23.2
GM0226;Duiven;23.8
GM0228;Ede;22.9
GM0230;Elburg;21
GM0232;Epe;23.3
GM0233;Ermelo;24.6
GM0236;Geldermalsen;24.8
GM0243;Harderwijk;23
GM0244;Hattem;24
GM0246;Heerde;22.6
GM0252;Heumen;26.9
GM0262;Lochem;25.3
GM0263;Maasdriel;23.6
GM0267;Nijkerk;23.5
GM0268;Nijmegen;22.9
GM0269;Oldebroek;20.6
GM0273;Putten;22.4
GM0274;Renkum;27.8
GM0275;Rheden;23.9
GM0277;Rozendaal;38.3
GM0279;Scherpenzeel;22.1
GM0281;Tiel;22.3
GM0285;Voorst;23.8
GM0289;Wageningen;22.6
GM0293;Westervoort;22.6
GM0294;Winterswijk;20.9
GM0296;Wijchen;23.7
GM0297;Zaltbommel;23.4
GM0299;Zevenaar;22.5
GM0301;Zutphen;22.5
GM0302;Nunspeet;21.8
GM0303;Dronten;22.5
GM0304;Neerijnen;24.1
GM0307;Amersfoort;25.9
GM0308;Baarn;28.8
GM0310;De Bilt;31.3
GM0312;Bunnik;28.8
GM0313;Bunschoten;22.4
GM0317;Eemnes;26.6
GM0321;Houten;28.2
GM0327;Leusden;27.7
GM0331;Lopik;22.8
GM0335;Montfoort;25.1
GM0339;Renswoude;22.8
GM0340;Rhenen;23.3
GM0342;Soest;27.2
GM0344;Utrecht;25.7
GM0345;Veenendaal;22.4
GM0351;Woudenberg;23.7
GM0352;Wijk bij Duurstede;25.9
GM0353;IJsselstein;26
GM0355;Zeist;29.3
GM0356;Nieuwegein;24.9
GM0358;Aalsmeer;27
GM0361;Alkmaar;24.3
GM0362;Amstelveen;30.8
GM0363;Amsterdam;26.9
GM0370;Beemster;26.9
GM0373;Bergen (NH.);27.9
GM0375;Beverwijk;23.5
GM0376;Blaricum;39.7
GM0377;Bloemendaal;40.9
GM0383;Castricum;27.9
GM0384;Diemen;24.8
GM0385;Edam-Volendam;25.1
GM0388;Enkhuizen;22.8
GM0392;Haarlem;26.8
GM0393;Haarlemmerliede en Spaarnwoude;27.4
GM0394;Haarlemmermeer;26.9
GM0396;Heemskerk;24.9
GM0397;Heemstede;36.4
GM0398;Heerhugowaard;23.1
GM0399;Heiloo;28.5
GM0400;Den Helder;22.6
GM0402;Hilversum;28
GM0405;Hoorn;23.5
GM0406;Huizen;27.1
GM0415;Landsmeer;28.4
GM0416;Langedijk;24.1
GM0417;Laren;39.2
GM0420;Medemblik;22.9
GM0431;Oostzaan;26.6
GM0432;Opmeer;22.8
GM0437;Ouder-Amstel;31.4
GM0439;Purmerend;24
GM0441;Schagen;23.6
GM0448;Texel;22.1
GM0450;Uitgeest;26.2
GM0451;Uithoorn;26.4
GM0453;Velsen;25.2
GM0457;Weesp;26.6
GM0473;Zandvoort;26.3
GM0479;Zaanstad;23.2
GM0482;Alblasserdam;22.3
GM0484;Alphen aan den Rijn;25.3
GM0489;Barendrecht;27.4
GM0498;Drechterland;23.4
GM0501;Brielle;28.5
GM0502;Capelle aan den IJssel;24.5
GM0503;Delft;23.4
GM0505;Dordrecht;23.4
GM0512;Gorinchem;23.9
GM0513;Gouda;24.2
GM0518;'s-Gravenhage;24.4
GM0523;Hardinxveld-Giessendam;21.9
GM0530;Hellevoetsluis;26.4
GM0531;Hendrik-Ido-Ambacht;25.2
GM0532;Stede Broec;22.2
GM0534;Hillegom;25.2
GM0537;Katwijk;22.9
GM0542;Krimpen aan den IJssel;24.4
GM0545;Leerdam;21.9
GM0546;Leiden;25.7
GM0547;Leiderdorp;27.8
GM0553;Lisse;25.4
GM0556;Maassluis;23.8
GM0569;Nieuwkoop;25.4
GM0575;Noordwijk;28.4
GM0576;Noordwijkerhout;24.6
GM0579;Oegstgeest;34.2
GM0584;Oud-Beijerland;25.7
GM0585;Binnenmaas;26.6
GM0588;Korendijk;24.8
GM0589;Oudewater;25.1
GM0590;Papendrecht;24.9
GM0597;Ridderkerk;23.9
GM0599;Rotterdam;22.3
GM0603;Rijswijk;26.6
GM0606;Schiedam;22.4
GM0610;Sliedrecht;22.3
GM0611;Cromstrijen;26.6
GM0613;Albrandswaard;29.1
GM0614;Westvoorne;31.6
GM0617;Strijen;25.4
GM0620;Vianen;24.2
GM0622;Vlaardingen;23.1
GM0626;Voorschoten;30.5
GM0627;Waddinxveen;24.3
GM0629;Wassenaar;43.1
GM0632;Woerden;26.4
GM0637;Zoetermeer;25.3
GM0638;Zoeterwoude;26.4
GM0642;Zwijndrecht;23.7
GM0654;Borsele;23
GM0664;Goes;24.2
GM0668;West Maas en Waal;23.6
GM0677;Hulst;24.2
GM0678;Kapelle;24
GM0687;Middelburg;23.4
GM0689;Giessenlanden;24.6
GM0703;Reimerswaal;21.1
GM0707;Zederik;23.3
GM0715;Terneuzen;23.6
GM0716;Tholen;21.9
GM0717;Veere;23.8
GM0718;Vlissingen;22.6
GM0733;Lingewaal;23.9
GM0736;De Ronde Venen;28.8
GM0737;Tytsjerksteradiel;21.4
GM0738;Aalburg;22.4
GM0743;Asten;22.9
GM0744;Baarle-Nassau;23.5
GM0748;Bergen op Zoom;24.8
GM0753;Best;26.1
GM0755;Boekel;21.5
GM0756;Boxmeer;23.7
GM0757;Boxtel;23.9
GM0758;Breda;25.6
GM0762;Deurne;22.3
GM0765;Pekela;18.9
GM0766;Dongen;23.6
GM0770;Eersel;25.7
GM0772;Eindhoven;24.6
GM0777;Etten-Leur;24.2
GM0779;Geertruidenberg;24.1
GM0784;Gilze en Rijen;23.4
GM0785;Goirle;25.2
GM0786;Grave;23.6
GM0788;Haaren;26
GM0794;Helmond;21.9
GM0796;'s-Hertogenbosch;25.7
GM0797;Heusden;24.1
GM0798;Hilvarenbeek;24.8
GM0809;Loon op Zand;23.8
GM0815;Mill en Sint Hubert;21.9
GM0820;Nuenen, Gerwen en Nederwetten;28.5
GM0823;Oirschot;24.8
GM0824;Oisterwijk;26.8
GM0826;Oosterhout;24.2
GM0828;Oss;23.1
GM0840;Rucphen;22.4
GM0845;Sint-Michielsgestel;25.8
GM0847;Someren;22.2
GM0848;Son en Breugel;27.6
GM0851;Steenbergen;24.5
GM0852;Waterland;27.9
GM0855;Tilburg;22.2
GM0856;Uden;23.3
GM0858;Valkenswaard;24.4
GM0861;Veldhoven;26.5
GM0865;Vught;28.8
GM0866;Waalre;29.8
GM0867;Waalwijk;23.2
GM0870;Werkendam;23.3
GM0873;Woensdrecht;24.9
GM0874;Woudrichem;24.4
GM0879;Zundert;23.2
GM0880;Wormerland;25.1
GM0881;Onderbanken;22.8
GM0882;Landgraaf;22.6
GM0888;Beek;24.8
GM0889;Beesel;21.7
GM0893;Bergen (L.);21.7
GM0899;Brunssum;21.3
GM0907;Gennep;22.7
GM0917;Heerlen;21.4
GM0928;Kerkrade;20.9
GM0935;Maastricht;22.9
GM0938;Meerssen;26.5
GM0944;Mook en Middelaar;28.1
GM0946;Nederweert;22.7
GM0951;Nuth;25
GM0957;Roermond;22.7
GM0962;Schinnen;25
GM0965;Simpelveld;23.1
GM0971;Stein;23.9
GM0981;Vaals;22
GM0983;Venlo;21.9
GM0984;Venray;22.6
GM0986;Voerendaal;25.8
GM0988;Weert;23.6
GM0994;Valkenburg aan de Geul;24.6
GM0995;Lelystad;22.1
GM1507;Horst aan de Maas;23
GM1509;Oude IJsselstreek;20.9
GM1525;Teylingen;28.4
GM1581;Utrechtse Heuvelrug;28.9
GM1586;Oost Gelre;22.4
GM1598;Koggenland;23.5
GM1621;Lansingerland;28.2
GM1640;Leudal;24.1
GM1641;Maasgouw;24.6
GM1651;Eemsmond;19.7
GM1652;Gemert-Bakel;22
GM1655;Halderberge;24.1
GM1658;Heeze-Leende;26.9
GM1659;Laarbeek;22.8
GM1663;De Marne;20.7
GM1667;Reusel-De Mierden;22.8
GM1669;Roerdalen;23.7
GM1674;Roosendaal;23.6
GM1676;Schouwen-Duiveland;24.2
GM1680;Aa en Hunze;24.5
GM1681;Borger-Odoorn;21.9
GM1684;Cuijk;22.5
GM1685;Landerd;22.5
GM1690;De Wolden;22.9
GM1695;Noord-Beveland;23.4
GM1696;Wijdemeren;28.9
GM1699;Noordenveld;23.6
GM1700;Twenterand;19.5
GM1701;Westerveld;23.1
GM1702;Sint Anthonis;23.2
GM1705;Lingewaard;23.8
GM1706;Cranendonck;23.6
GM1708;Steenwijkerland;21.2
GM1709;Moerdijk;24.8
GM1711;Echt-Susteren;23.7
GM1714;Sluis;23.4
GM1719;Drimmelen;25
GM1721;Bernheze;23.4
GM1722;Ferwerderadiel;19.2
GM1723;Alphen-Chaam;25
GM1724;Bergeijk;23.8
GM1728;Bladel;23.6
GM1729;Gulpen-Wittem;24.2
GM1730;Tynaarlo;26
GM1731;Midden-Drenthe;22.3
GM1734;Overbetuwe;24.2
GM1735;Hof van Twente;23
GM1740;Neder-Betuwe;20.5
GM1742;Rijssen-Holten;20.3
GM1771;Geldrop-Mierlo;24.4
GM1773;Olst-Wijhe;22.7
GM1774;Dinkelland;22.1
GM1783;Westland;24.4
GM1842;Midden-Delfland;27.3
GM1859;Berkelland;21.7
GM1876;Bronckhorst;22.9
GM1883;Sittard-Geleen;23.4
GM1884;Kaag en Braassem;25.6
GM1891;Dantumadiel;18.8
GM1892;Zuidplas;26.3
GM1894;Peel en Maas;23.2
GM1895;Oldambt;20.2
GM1896;Zwartewaterland;20.6
GM1900;Súdwest-Fryslün;21
GM1901;Bodegraven-Reeuwijk;26.1
GM1903;Eijsden-Margraten;25.5
GM1904;Stichtse Vecht;28.3
GM1908;Menameradiel;21.5
GM1911;Hollands Kroon;22.7
GM1916;Leidschendam-Voorburg;29.3
GM1924;Goeree-Overflakkee;24.2
GM1926;Pijnacker-Nootdorp;27.3
GM1927;Molenwaard;22.5
GM1930;Nissewaard;24.8
GM1931;Krimpenerwaard;24.3
GM1940;De Fryske Marren;21.6
GM1942;Gooise Meren;33.8
GM1945;Berg en Dal;23.5
GM1948;Meierijstad;23.2
GM1955;Montferland;21.6
GM1987;Menterwolde;21.1
